7896740	81099///79501///26682
7896742	100134822///140849
7896744	729759///441308///81399///26683
7896754	100287934///100287497
7896756	157693
7896759	643837
7896761	148398///26155
7896779	339451
7896798	84069
7896817	9636
7896822	375790
7896859	406984
7896861	406983
7896863	554210
7896865	254173
7896878	126792
7896882	6339
7896908	126789///54973
7896917	80772
7896921	83756
7896929	64856
7896937	219293///55210
7896952	55210
7896961	83858///55210///83858
7896985	142678
7897006	8511///8510
7897026	163688
7897034	2563
7897044	5590
7897066	199990
7897068	6497
7897076	79906
7897078	11079
7897089	9651
7897119	127281
7897128	140625
7897132	63976
7897154	27237
7897172	127262///127262
7897179	7161
7897196	148870
7897210	1677
7897227	55966
7897236	8514
7897257	388591
7897263	388591
7897277	148645
7897280	390992
7897286	100130071
7897288	83715
7897295	80835
7897305	3104
7897322	148479
7897329	90326///55735
7897339	23261
7897370	9341
7897378	10911///8863
7897404	11315
7897416	50651
7897426	765
7897441	9563
7897449	80176
7897460	84275
7897469	199953
7897482	5293
7897509	64802
7897522	116362
7897527	10277
7897561	23095
7897620	5226
7897632	100526739///378708///1325
7897648	5195
7897663	23435
7897675	10218
7897685	29914
7897691	57540
7897714	93611
7897728	26270
7897737	374946
7897745	57085
7897753	284498
7897774	1185
7897801	26829
7897803	5351
7897824	9927
7897849	60672
7897860	943
7897877	7133
7897890	55187
7897953	677885///677882
7897955	343066
7897960	126767
7897966	93190
7897974	390999
7897978	729528///65122///65121
7897987	65122
7897991	441871///391002
7897997	653606///645414///391003
7898002	653606///645414
7898007	653619///440561///440560///400735///343070///343068
7898012	653619///440561///440560///400735///343070///343068
7898020	654348///391004///343071
7898026	654348///391004///343071
7898030	645425
7898034	654348///391004///343071
7898040	653619///440561///440560///400735///343070///343068
7898048	654348///391004///343071
7898052	645425///343068
7898057	10630
7898070	7799
7898084	23254
7898102	200197///23254
7898112	200197
7898115	55092
7898124	114827
7898161	79180
7898167	11330
7898176	63036
7898184	51032
7898192	23341
7898211	84301///6248
7898227	23207
7898249	284723
7898256	388595
7898263	54751
7898278	23013
7898296	149563
7898300	1187
7898314	1188
7898328	26099
7898337	55707
7898350	100133616///100132147
7898357	11223///11209///4485
7898375	26871///26870///26869///26866///26865///26863///6060
7898377	9696
7898407	100132147///440570
7898411	26871///26870///26869///26866///26865///26863///6060
7898413	29943
7898431	51702
7898448	23569
7898466	353238
7898483	55160
7898516	81569
7898521	84966
7898533	127707
7898537	5081
7898549	51154
7898556	54896
7898568	100130193///644083
7898574	440574
7898582	644068///6208
7898585	4681
7898594	3362
7898602	23252
7898609	5322
7898616	64600
7898623	127733
7898627	127731
7898653	163933
7898655	978
7898663	65018
7898677	9394
7898679	84224
7898693	249
7898707	401944///3339
7898713	23436
7898725	23436///10136
7898736	29092
7898739	998
7898750	9923
7898773	2046
7898793	712
7898799	714
7898805	713
7898809	2048
7898833	23028
7898858	148898///80818
7898869	259283
7898875	6135
7898881	6924
7898894	57095
7898902	11313
7898910	55629
7898916	57822
7898939	57185
7898957	11123
7898967	400746
7898975	10250
7898988	25932
7898998	6007///6006
7899005	23585
7899016	6392
7899018	55219
7899023	26119
7899029	57134
7899043	57190
7899057	56181
7899075	2134
7899087	149420
7899093	79927
7899096	51042
7899101	10256
7899124	378807
7899134	64793
7899153	83442
7899160	1043
7899167	79727
7899173	79947
7899187	3151
7899192	6195
7899220	8289
7899244	55650
7899253	84243
7899265	2810
7899273	10726
7899284	388610
7899289	23038
7899310	84065
7899323	84958
7899343	2827
7899346	51372
7899350	199870
7899361	23673
7899377	5511
7899392	677774
7899394	9473
7899407	27293
7899417	55113
7899424	93974
7899436	83667
7899448	54797
7899455	65979
7899462	8420///1104///8420///1104
7899480	8420///6080
7899486	54952
7899499	115273
7899502	26824
7899504	10691
7899519	51441
7899528	4985
7899534	2035
7899562	10076
7899595	100129196///4146
7899604	51538
7899615	347735
7899627	64129
7899643	3061
7899654	10657
7899675	55116///55116
7899688	23633
7899703	200081
7899719	79140
7899727	55721
7899737	8668
7899750	84734
